cod_proposta,cod_cliente,cod_colaborador,data_entrada_proposta,taxa_juros_mensal,valor_proposta,valor_financiamento,valor_entrada,valor_prestacao,quantidade_parcelas,carencia,status_proposta
1859,506,30,2016-02-10 09:05:00 UTC,0.0182,102314.91752845945,179501.93,77187.01247154054,4830.1590628286876,27,5,Enviada
428,737,31,2015-11-08 04:06:23 UTC,0.0219,102033.6751480932,167087.88,65054.2048519068,4374.9349516332459,33,3,Enviada
442,255,31,2014-09-30 14:54:07 UTC,0.0235,36427.422731577091,71192.8,34765.377268422912,931.87992088399869,108,6,Enviada
1132,819,31,2017-05-07 23:00:05 UTC,0.0212,100487.26305907835,124271.71,23784.446940921654,9572.20076977726,12,4,Enviada
1404,424,31,2021-08-11 15:33:28 UTC,0.0099,72467.681702234,90672.57,18204.888297766018,1386.0500680513214,74,0,Enviada
1793,587,31,2013-05-23 14:26:35 UTC,0.0215,110456.1642441406,135753.05,25296.885755859392,4019.9856337600786,42,1,Enviada
1876,769,31,2015-08-19 02:41:58 UTC,0.0082,74808.235124389219,91810.14,17001.904875610777,1012.5307103321138,114,1,Enviada
32,684,32,2019-05-19 10:55:50 UTC,0.0177,150541.80615265638,214230.17,63688.363847343644,12234.654513722122,14,2,Enviada
841,266,32,2022-11-25 04:38:38 UTC,0.022,97160.594816413082,175982.06,78821.465183586915,3297.8964847071138,48,3,Enviada
1074,574,32,2019-01-27 07:14:07 UTC,0.0096,20823.663113248629,38488.39,17664.72688675137,851.67117991282043,28,3,Enviada
1118,776,32,2017-10-21 23:50:07 UTC,0.01,34437.4429849607,47305.91,12868.467015039307,1563.6924813635421,25,2,Enviada
1170,523,32,2011-04-10 08:39:58 UTC,0.0111,36747.67822405832,50821.87,14074.191775941683,591.44149432934546,106,4,Enviada
1616,15,32,2016-11-22 03:43:25 UTC,0.0225,3962.7425689358793,4673.56,710.81743106412114,248.23440043864071,20,4,Enviada
1655,469,32,2014-05-23 12:01:59 UTC,0.0087,200491.47468614468,244528.99,44037.515313855329,3295.1689847700482,87,0,Enviada
1893,752,32,2012-03-30 03:11:02 UTC,0.0116,103142.28335280153,124541.11,21398.826647198472,1712.5371762768536,104,0,Enviada
1969,292,32,2016-07-12 00:18:43 UTC,0.0223,125222.81502925216,211143.14,85920.324970747854,8931.15761490337,17,3,Enviada
784,516,33,2011-10-26 17:14:53 UTC,0.0111,80533.993693699667,151718.99,71184.996306300323,1410.4579988566959,91,4,Enviada
1099,621,33,2015-10-10 19:35:33 UTC,0.0157,11569.135340000377,19598.82,8029.6846599996225,258.25593005553065,78,3,Enviada
1512,895,33,2020-11-19 13:33:14 UTC,0.0179,99892.9732048055,174480.38,74587.4067951945,5156.6472733359078,24,3,Enviada
1983,254,33,2013-05-10 08:36:58 UTC,0.0184,113321.08355566603,146660.88,33339.796444333973,5883.3665550527257,24,4,Enviada
64,137,34,2019-10-06 21:06:21 UTC,0.0114,8110.3600801541834,11113.79,3003.4299198458175,1406.1700076791576,6,6,Enviada
381,36,34,2014-11-25 02:21:19 UTC,0.0115,26168.865951817352,32190.33,6021.4640481826491,449.06272861866483,97,4,Enviada
424,499,34,2013-06-06 19:59:26 UTC,0.0165,110943.30876533991,133251.92,22308.611234660104,3512.3126489238234,45,1,Enviada
548,460,34,2010-08-01 23:14:29 UTC,0.0081,42091.196254667615,84055.68,41964.483745332378,1385.9505467784952,35,5,Enviada
912,602,34,2017-08-03 20:08:25 UTC,0.0206,5554.1332717939913,8454.51,2900.3767282060094,175.03941630637479,52,6,Enviada
704,985,35,2012-10-13 16:59:01 UTC,0.0131,23099.804457005564,29012.83,5913.0255429944382,671.7632973056318,46,1,Enviada
1269,406,35,2016-12-02 05:25:31 UTC,0.0126,17118.326421544214,25249.57,8131.2435784557856,776.22313617541749,26,2,Enviada
149,672,36,2013-01-12 20:16:52 UTC,0.0191,4958.7926151364481,5938.39,979.59738486355229,107.64650062023581,112,4,Enviada
956,551,36,2017-11-22 10:39:06 UTC,0.0153,37977.112584075861,48504.95,10527.837415924139,693.11754633594,120,3,Enviada
1066,534,36,2019-11-22 19:41:04 UTC,0.0104,21706.493700457337,42951.18,21244.686299542664,1399.6616545774505,17,6,Enviada
1145,849,36,2021-01-11 01:56:28 UTC,0.0202,134658.77349817395,175034.36,40375.586501826045,3358.8193361469866,83,5,Enviada
200,772,37,2019-03-27 21:33:20 UTC,0.0183,46919.149022492755,60001.44,13082.290977507251,988.27729146611534,112,1,Enviada
516,644,37,2019-08-11 02:24:45 UTC,0.0218,91145.0426280043,110898.6,19753.557371995703,2260.0194472781491,98,0,Enviada
588,699,37,2019-08-02 03:10:15 UTC,0.0106,136688.4513002176,243963.78,107275.3286997824,2364.1420663650028,90,6,Enviada
972,711,37,2010-06-23 07:04:18 UTC,0.0221,105666.04639222918,159567.04,53900.993607770819,2840.3368431673075,79,6,Enviada
982,936,37,2018-04-02 22:24:01 UTC,0.0138,49850.37364194078,65947.41,16097.036358059222,1071.1313875218104,75,4,Enviada
1067,986,37,2022-09-04 04:31:22 UTC,0.0093,104304.79934651808,190050.37,85745.570653481918,1740.9358228720364,88,1,Enviada
1322,128,37,2013-12-09 03:13:48 UTC,0.018,134672.43796268298,193374.09,58701.652037317006,2796.6095881250717,113,3,Enviada
1781,578,37,2018-11-06 22:04:53 UTC,0.0241,58488.3868282093,116856.02,58367.6331717907,2896.4774371067797,28,5,Enviada
1814,870,37,2012-05-18 17:16:23 UTC,0.0127,56948.170122030031,81043.3,24095.129877969972,1035.45805281836,95,3,Enviada
1842,214,37,2022-02-22 13:33:14 UTC,0.0201,98835.312700100243,146726,47890.687299899757,4650.257833226291,28,6,Enviada
1932,410,37,2016-08-22 10:08:51 UTC,0.0211,138943.56029481842,199461.47,60517.909705181577,3291.5990124933896,106,1,Enviada
824,843,38,2011-08-09 00:28:33 UTC,0.0208,72284.2765296629,126768.15,54483.873470337108,4644.5057072780319,19,2,Enviada
162,289,39,2018-11-25 02:54:13 UTC,0.02,32620.623958822762,46158.58,13537.956041177242,1783.3074545598943,23,6,Enviada
215,245,39,2021-02-28 18:17:15 UTC,0.0103,64763.509713781539,108663.15,43899.640286218455,1023.1477798028141,103,1,Enviada
681,986,39,2020-06-24 18:38:26 UTC,0.0112,79704.955437772966,108450.48,28745.524562227027,3950.1868632607425,23,3,Enviada
1462,252,39,2022-01-10 21:42:55 UTC,0.009,115885.31650407217,210424.71,94539.393495927827,3971.6262973263442,34,5,Enviada
1764,828,39,2021-12-30 15:55:20 UTC,0.0161,53741.009075300768,76298.13,22557.120924699237,1029.2198185048064,115,2,Enviada
182,27,40,2019-12-16 11:31:22 UTC,0.0089,90173.759594722971,127367.03,37193.270405277028,3541.6959844319067,29,2,Enviada
1254,607,40,2014-02-11 11:29:35 UTC,0.0215,21075.990977710495,39323.96,18247.969022289504,1009.7032712230819,28,2,Enviada
1260,662,40,2012-12-10 19:58:43 UTC,0.0092,46674.14633784262,90265.84,43591.693662157377,1646.3630859459738,33,4,Enviada
1845,528,40,2021-08-11 11:59:58 UTC,0.0129,51805.022078411908,97392.24,45587.2179215881,949.16160917928062,95,6,Enviada
1870,786,40,2021-07-04 20:22:20 UTC,0.0236,67383.1533024392,99727.99,32344.836697560811,2849.9905208082491,35,2,Enviada
691,713,41,2012-08-16 14:41:07 UTC,0.008,141939.18276367668,245172.53,103233.34723632332,2949.7374329549048,61,0,Enviada
1124,144,41,2016-02-18 07:47:02 UTC,0.0226,3067.2812343082878,4776.17,1708.8887656917123,172.47800081221411,23,5,Enviada
1314,93,41,2010-01-26 07:02:23 UTC,0.0183,27087.446115883464,37943.1,10855.653884116535,603.458885820771,95,1,Enviada
1638,784,41,2010-07-18 18:46:14 UTC,0.0186,154093.1670624633,224203.36,70110.192937536674,3901.0875743623556,72,2,Enviada
1650,638,41,2018-11-29 16:22:41 UTC,0.021,71752.239911891666,104875.69,33123.450088108344,1645.5519232382755,119,6,Enviada
1686,800,41,2018-05-06 19:19:27 UTC,0.0111,177277.25266585135,232496.1,55218.847334148646,3047.4429712817832,94,3,Enviada
325,290,42,2012-06-04 21:12:18 UTC,0.0127,59307.6476636008,81807.65,22500.002336399197,1767.7215002680491,44,4,Enviada
338,712,42,2020-10-02 12:27:15 UTC,0.0229,80924.740130786959,130001.32,49076.579869213056,2678.3411979114285,52,2,Enviada
1177,828,42,2016-09-02 01:17:34 UTC,0.0145,36533.844972963918,60981.72,24447.875027036083,3617.13801942349,11,5,Enviada
584,355,43,2022-01-02 06:37:34 UTC,0.018,50411.289478562438,95061.64,44650.350521437562,1668.4487308065709,44,1,Enviada
1009,472,43,2021-04-14 23:45:03 UTC,0.0121,92799.6843131943,110491.76,17692.0756868057,4646.4205185136034,23,5,Enviada
1246,736,43,2020-03-15 21:31:47 UTC,0.0116,188058.531244489,241025.27,52966.738755510996,4419.3805076774888,59,4,Enviada
1570,118,43,2013-01-17 04:29:17 UTC,0.0176,188145.66552012617,237620.42,49474.754479873831,8126.0104512757953,30,5,Enviada
1759,42,43,2021-01-19 09:33:14 UTC,0.0235,164590.18155813773,199065.77,34475.588441862259,8780.7298715963952,25,5,Enviada
1818,807,43,2015-04-22 15:43:04 UTC,0.0234,99051.990538391692,173346.11,74294.1194616083,13720.433184911266,8,2,Enviada
599,425,44,2011-04-30 04:56:48 UTC,0.008,169146.00916574016,241497.6,72351.590834259856,2209.0125820634617,119,3,Enviada
213,543,45,2017-08-19 10:27:16 UTC,0.0137,119207.20013517264,161992.55,42785.34986482736,2217.6030216718132,98,6,Enviada
313,410,45,2010-12-26 12:16:43 UTC,0.0243,53872.9058811792,98115.43,44242.524118820795,1521.5642538357713,82,4,Enviada
